Name,Age,Position,Player Nationality,Market Value,Left,LeagueLefted,Joined,LeagueJoined,Fee
Khéphren Thuram,23,Central Midfield,France,35.0,OGC Nice,Ligue 1,Juventus,Serie A,20.6
Samu Aghehowa,20,Centre-Forward,Spain,35.0,Atlético Madrid,LaLiga,FC Porto,Liga Portugal,20.0
Federico Chiesa,26,Right Winger,Italy,35.0,Juventus,Serie A,Liverpool,Premier League,12.0
Nico González,26,Right Winger,Argentina,35.0,Fiorentina,Serie A,Juventus,Serie A,
Odilon Kossounou,23,Centre-Back,Cote d'Ivoire,35.0,B. Leverkusen,Bundesliga,Atalanta BC,Serie A,
Raheem Sterling,29,Right Winger,England,35.0,Chelsea,Premier League,Arsenal,Premier League,
Jean-Clair Todibo,24,Centre-Back,France,35.0,OGC Nice,Ligue 1,West Ham,Premier League,
Nayef Aguerd,28,Centre-Back,Morocco,35.0,West Ham,Premier League,Real Sociedad,LaLiga,
Charles De Ketelaere,23,Attacking Midfield,Belgium,34.0,AC Milan,Serie A,Atalanta BC,Serie A,23.2
Lewis Hall,19,Left-Back,England,18.0,Chelsea,Premier League,Newcastle,Premier League,33.0
Luiz Henrique,24,Right Winger,Brazil,22.0,Botafogo,Série A,Zenit S-Pb,Premier Liga,33.0
Igor Thiago,23,Centre-Forward,Brazil,25.0,Club Brugge,Jupiler Pro League,Brentford,Premier League,33.0
Alexander Sørloth,28,Centre-Forward,Norway,25.0,Villarreal,LaLiga,Atlético Madrid,LaLiga,32.0
Mats Wieffer,24,Defensive Midfield,Netherlands,30.0,Feyenoord,Eredivisie,Brighton,Premier League,32.0
Scott McTominay,27,Central Midfield,Scotland,32.0,Man Utd,Premier League,Napoli,Serie A,30.5
Lutsharel Geertruida,24,Right-Back,Netherlands,32.0,Feyenoord,Eredivisie,RB Leipzig,Bundesliga,20.0
Moussa Niakhaté,28,Centre-Back,Senegal,16.0,Nottm Forest,Premier League,Olympique Lyon,Ligue 1,31.9
Emile Smith Rowe,24,Attacking Midfield,England,22.0,Arsenal,Premier League,Fulham,Premier League,31.8
Patrick Dorgu,20,Left-Back,Denmark,20.0,Lecce,Serie A,Man Utd,Premier League,30.0
Ferdi Kadıoğlu,24,Left-Back,Türkiye,30.0,Fenerbahce,Süper Lig,Brighton,Premier League,30.0
Romelu Lukaku,31,Centre-Forward,Belgium,30.0,Chelsea,Premier League,Napoli,Serie A,30.0
Eddie Nketiah,25,Centre-Forward,England,30.0,Arsenal,Premier League,Crystal Palace,Premier League,29.7
Maximilian Beier,21,Centre-Forward,Germany,30.0,TSG Hoffenheim,Bundesliga,Bor. Dortmund,Bundesliga,28.5
Hiroki Ito,25,Centre-Back,Japan,30.0,VfB Stuttgart,Bundesliga,Bayern Munich,Bundesliga,23.5
Bilal El Khannouss,20,Attacking Midfield,Morocco,30.0,KRC Genk,Jupiler Pro League,Leicester,Premier League,22.5
Youssouf Fofana,25,Defensive Midfield,France,30.0,Monaco,Ligue 1,AC Milan,Serie A,20.0
Noussair Mazraoui,26,Right-Back,Morocco,30.0,Bayern Munich,Bundesliga,Man Utd,Premier League,15.0
Mathys Tel,19,Centre-Forward,France,30.0,Bayern Munich,Bundesliga,Tottenham,Premier League,
Axel Disasi,26,Centre-Back,France,30.0,Chelsea,Premier League,Aston Villa,Premier League,
Albert Gudmundsson,27,Second Striker,Iceland,30.0,Genoa,Serie A,Fiorentina,Serie A,
João Félix,25,Second Striker,Portugal,30.0,Chelsea,Premier League,AC Milan,Serie A,
Randal Kolo Muani,26,Centre-Forward,France,30.0,Paris SG,Ligue 1,Juventus,Serie A,
Tammy Abraham,26,Centre-Forward,England,30.0,AS Roma,Serie A,AC Milan,Serie A,
Vitor Roque,19,Centre-Forward,Brazil,30.0,Barcelona,LaLiga,Real Betis,LaLiga,
Jadon Sancho,24,Left Winger,England,30.0,Man Utd,Premier League,Chelsea,Premier League,
Matt O'Riley,23,Central Midfield,Denmark,20.0,Celtic,Premiership,Brighton,Premier League,29.5
Wilson Odobert,19,Left Winger,France,10.0,Burnley,Championship,Tottenham,Premier League,29.3
Crysencio Summerville,22,Left Winger,Netherlands,20.0,Leeds,Championship,West Ham,Premier League,29.3
Moteb Al-Harbi,24,Left-Back,Saudi Arabia,8.0,Al-Shabab,Saudi Pro League,Al-Hilal,Saudi Pro League,28.95
Ernest Nuamah,20,Right Winger,Ghana,18.0,RWDM,Challenger Pro League,Olympique Lyon,Ligue 1,28.5
David Neres,27,Left Winger,Brazil,25.0,Benfica,Liga Portugal,Napoli,Serie A,28.0
Donyell Malen,25,Right Winger,Netherlands,28.0,Bor. Dortmund,Bundesliga,Aston Villa,Premier League,25.0
Ermedin Demirovic,26,Centre-Forward,Bosnia-Herzegovina,28.0,FC Augsburg,Bundesliga,VfB Stuttgart,Bundesliga,21.0
Niclas Füllkrug,31,Centre-Forward,Germany,15.0,Bor. Dortmund,Bundesliga,West Ham,Premier League,27.0
Thiago Almada,23,Attacking Midfield,Argentina,27.0,Atlanta,MLS,Botafogo,Série A,19.5
Thiago Almada,23,Attacking Midfield,Argentina,27.0,Botafogo,Série A,Olympique Lyon,Ligue 1,
Deniz Undav,28,Centre-Forward,Germany,25.0,Brighton,Premier League,VfB Stuttgart,Bundesliga,26.7
Mason Greenwood,22,Right Winger,England,25.0,Man Utd,Premier League,Marseille,Ligue 1,26.0
Matías Soulé,21,Right Winger,Argentina,25.0,Juventus,Serie A,AS Roma,Serie A,25.6
Vitor Roque,20,Centre-Forward,Brazil,20.0,Barcelona,LaLiga,Palmeiras,Série A,25.5
Elye Wahi,22,Centre-Forward,France,25.0,Marseille,Ligue 1,E. Frankfurt,Bundesliga,26.0
João Cancelo,30,Right-Back,Portugal,25.0,Man City,Premier League,Al-Hilal,Saudi Pro League,25.0
Stefanos Tzimas,19,Centre-Forward,Greece,10.0,1.FC Nuremberg,2. Bundesliga,Brighton,Premier League,25.0
André,23,Defensive Midfield,Brazil,25.0,Fluminense,Série A,Wolves,Premier League,22.0
Aaron Ramsdale,26,Goalkeeper,England,25.0,Arsenal,Premier League,Southampton,Premier League,21.4
Strahinja Pavlović,23,Centre-Back,Serbia,25.0,RB Salzburg,Bundesliga,AC Milan,Serie A,18.0
Aleix García,27,Central Midfield,Spain,25.0,Girona,LaLiga,B. Leverkusen,Bundesliga,18.0
Vangelis Pavlidis,25,Centre-Forward,Greece,25.0,AZ Alkmaar,Eredivisie,Benfica,Liga Portugal,18.0
Mattéo Guendouzi,25,Central Midfield,France,25.0,Marseille,Ligue 1,Lazio,Serie A,13.0
Yan Couto,22,Right-Back,Brazil,25.0,Man City,Premier League,Bor. Dortmund,Bundesliga,
Jørgen Strand Larsen,24,Centre-Forward,Norway,25.0,Celta de Vigo,LaLiga,Wolves,Premier League,
Arthur Vermeeren,19,Defensive Midfield,Belgium,25.0,Atlético Madrid,LaLiga,RB Leipzig,Bundesliga,
Kevin Danso,26,Centre-Back,Austria,25.0,Lens,Ligue 1,Tottenham,Premier League,
Lesley Ugochukwu,20,Defensive Midfield,France,25.0,Chelsea,Premier League,Southampton,Premier League,
Kalvin Phillips,28,Defensive Midfield,England,25.0,Man City,Premier League,Ipswich,Premier League,
Kurt Zouma,29,Centre-Back,France,25.0,West Ham,Premier League,Al-Orobah,Saudi Pro League,
Luis Guilherme,18,Right Winger,Brazil,24.0,Palmeiras,Série A,West Ham,Premier League,23.0
Jaden Philogene,22,Left Winger,England,15.0,Aston Villa,Premier League,Ipswich,Premier League,23.7
Odysseas Vlachodimos,30,Goalkeeper,Greece,7.0,Nottm Forest,Premier League,Newcastle,Premier League,23.6
Sepp van den Berg,22,Centre-Back,Netherlands,12.0,Liverpool,Premier League,Brentford,Premier League,23.6
Sander Berge,26,Defensive Midfield,Norway,20.0,Burnley,Championship,Fulham,Premier League,23.55
Omari Hutchinson,20,Attacking Midfield,England,7.0,Chelsea,Premier League,Ipswich,Premier League,23.5
Oliver Skipp,23,Defensive Midfield,England,15.0,Tottenham,Premier League,Leicester,Premier League,23.5
Luis Sinisterra,25,Left Winger,Colombia,17.0,Leeds,Championship,Bournemouth,Premier League,23.4
Orel Mangala,26,Defensive Midfield,Belgium,20.0,Nottm Forest,Premier League,Olympique Lyon,Ligue 1,23.4
Fábio Carvalho,21,Attacking Midfield,Portugal,14.0,Liverpool,Premier League,Brentford,Premier League,23.4
Enzo Le Fée,24,Central Midfield,France,18.0,Stade Rennais,Ligue 1,AS Roma,Serie A,23.0
Taylor Harwood-Bellis,22,Centre-Back,England,22.0,Man City,Premier League,Southampton,Premier League,23.0
Waldemar Anton,27,Centre-Back,Germany,20.0,VfB Stuttgart,Bundesliga,Bor. Dortmund,Bundesliga,22.5
Omari Kellyman,18,Attacking Midfield,England,1.0,Aston Villa U21,Premier League 2,Chelsea,Premier League,22.5
Raoul Bellanova,24,Right Midfield,Italy,15.0,Torino,Serie A,Atalanta BC,Serie A,22.0
Carlos Augusto,25,Left-Back,Brazil,22.0,Monza,Serie A,Inter,Serie A,13.25
Francisco Conceição,21,Right Winger,Portugal,22.0,Ajax,Eredivisie,FC Porto,Liga Portugal,10.24
Francisco Conceição,21,Right Winger,Portugal,22.0,FC Porto,Liga Portugal,Juventus,Serie A,
Jesper Lindstrøm,24,Right Winger,Denmark,22.0,Napoli,Serie A,Everton,Premier League,
Sofyan Amrabat,28,Defensive Midfield,Morocco,22.0,Fiorentina,Serie A,Fenerbahce,Süper Lig,
Fábio Vieira,24,Attacking Midfield,Portugal,22.0,Arsenal,Premier League,FC Porto,Liga Portugal,
Armando Broja,22,Centre-Forward,Albania,22.0,Chelsea,Premier League,Everton,Premier League,
Piotr Zieliński,30,Central Midfield,Poland,22.0,Napoli,Serie A,Inter,Serie A,
Sergiño Dest,23,Right-Back,United States,22.0,Barcelona,LaLiga,PSV Eindhoven,Eredivisie,
Youssoufa Moukoko,19,Centre-Forward,Germany,22.0,Bor. Dortmund,Bundesliga,OGC Nice,Ligue 1,
Julio Enciso,21,Attacking Midfield,Paraguay,22.0,Brighton,Premier League,Ipswich,Premier League,
Jacob Greaves,23,Centre-Back,England,15.0,Hull City,Championship,Ipswich,Premier League,21.5
Emmanuel Latte Lath,26,Centre-Forward,Cote d'Ivoire,10.0,Middlesbrough,Championship,Atlanta,MLS,21.25
Steven Bergwijn,26,Left Winger,Netherlands,18.0,Ajax,Eredivisie,Al-Ittihad,Saudi Pro League,21.0
Antonio Nusa,19,Left Winger,Norway,15.0,Club Brugge,Jupiler Pro League,RB Leipzig,Bundesliga,21.0
Brajan Gruda,20,Right Winger,Germany,20.0,1.FSV Mainz 05,Bundesliga,Brighton,Premier League,31.5
Filip Jørgensen,22,Goalkeeper,Denmark,20.0,Villarreal,LaLiga,Chelsea,Premier League,24.5
Martin Terrier,27,Left Winger,France,20.0,Stade Rennais,Ligue 1,B. Leverkusen,Bundesliga,20.0
Seko Fofana,29,Central Midfield,Cote d'Ivoire,12.0,Al-Nassr,Saudi Pro League,Stade Rennais,Ligue 1,20.0
Emmanuel Agbadou,27,Centre-Back,Cote d'Ivoire,10.0,Stade Reims,Ligue 1,Wolves,Premier League,20.0
Matvey Safonov,25,Goalkeeper,Russia,20.0,Krasnodar,Premier Liga,Paris SG,Ligue 1,20.0
Mike Penders,19,Goalkeeper,Belgium,1.0,KRC Genk,Jupiler Pro League,Chelsea,Premier League,20.0
Claudinho,27,Attacking Midfield,Brazil,17.0,Zenit S-Pb,Premier Liga,Al-Sadd,Stars League,20.0
Orri Óskarsson,20,Centre-Forward,Iceland,5.0,FC Copenhagen,Superliga,Real Sociedad,LaLiga,20.0
Youssef En-Nesyri,27,Centre-Forward,Morocco,20.0,Sevilla FC,LaLiga,Fenerbahce,Süper Lig,19.5
Amine Gouiri,24,Centre-Forward,Algeria,20.0,Stade Rennais,Ligue 1,Marseille,Ligue 1,19.0
Georges Mikautadze,23,Centre-Forward,Georgia,20.0,FC Metz,Ligue 2,Olympique Lyon,Ligue 1,18.5
Manu Koné,23,Central Midfield,France,20.0,Bor. M'gladbach,Bundesliga,AS Roma,Serie A,18.0
Maxence Lacroix,24,Centre-Back,France,20.0,VfL Wolfsburg,Bundesliga,Crystal Palace,Premier League,18.0
Aaron Wan-Bissaka,26,Right-Back,England,20.0,Man Utd,Premier League,West Ham,Premier League,17.6
Hugo Ekitiké,22,Centre-Forward,France,20.0,Paris SG,Ligue 1,E. Frankfurt,Bundesliga,16.5
Mohamed Camara,24,Defensive Midfield,Mali,20.0,Monaco,Ligue 1,Al-Sadd,Stars League,16.5
Saïd Benrahma,28,Left Winger,Algeria,20.0,West Ham,Premier League,Olympique Lyon,Ligue 1,14.4
Arthur Theate,24,Centre-Back,Belgium,20.0,Stade Rennais,Ligue 1,E. Frankfurt,Bundesliga,13.0
Malik Tillman,22,Attacking Midfield,United States,20.0,Bayern Munich,Bundesliga,PSV Eindhoven,Eredivisie,12.0
Lazar Samardžić,22,Central Midfield,Serbia,20.0,Udinese,Serie A,Atalanta BC,Serie A,
Pierre Kalulu,24,Centre-Back,France,20.0,AC Milan,Serie A,Juventus,Serie A,
Nicolò Zaniolo,25,Attacking Midfield,Italy,20.0,Galatasaray,Süper Lig,Atalanta BC,Serie A,
Nicolò Fagioli,23,Central Midfield,Italy,20.0,Juventus,Serie A,Fiorentina,Serie A,
El Bilal Touré,22,Centre-Forward,Mali,20.0,Atalanta BC,Serie A,VfB Stuttgart,Bundesliga,
Arthur Theate,24,Centre-Back,Belgium,20.0,Stade Rennais,Ligue 1,E. Frankfurt,Bundesliga,
Orel Mangala,26,Defensive Midfield,Belgium,20.0,Olympique Lyon,Ligue 1,Everton,Premier League,
Antony,24,Right Winger,Brazil,20.0,Man Utd,Premier League,Real Betis,LaLiga,
Guido Rodríguez,30,Defensive Midfield,Argentina,20.0,Real Betis,LaLiga,West Ham,Premier League,
Carlos Soler,27,Central Midfield,Spain,20.0,Paris SG,Ligue 1,West Ham,Premier League,
Marco Asensio,29,Right Winger,Spain,20.0,Paris SG,Ligue 1,Aston Villa,Premier League,
Tosin Adarabioyo,26,Centre-Back,England,20.0,Fulham,Premier League,Chelsea,Premier League,
Djordje Petrovic,24,Goalkeeper,Serbia,20.0,Chelsea,Premier League,R. Strasbourg,Ligue 1,
Ben Chilwell,28,Left-Back,England,20.0,Chelsea,Premier League,Crystal Palace,Premier League,
Raphaël Varane,31,Centre-Back,France,20.0,Man Utd,Premier League,Como,Serie A,
Jake O'Brien,23,Right-Back,Ireland,12.0,Olympique Lyon,Ligue 1,Everton,Premier League,19.5
Ibrahim Osman,19,Left Winger,Ghana,12.0,Nordsjaelland,Superliga,Brighton,Premier League,19.5
Conrad Harder,19,Centre-Forward,Denmark,2.0,Nordsjaelland,Superliga,Sporting CP,Liga Portugal,19.0
George Ilenikhena,17,Centre-Forward,Nigeria,10.0,Royal Antwerp,Jupiler Pro League,Monaco,Ligue 1,18.75
Levi García,27,Centre-Forward,Trinidad and Tobago,15.0,AEK Athens,Super League 1,Spartak Moscow,Premier Liga,18.7
Ezequiel Fernández,22,Defensive Midfield,Argentina,14.0,Boca Juniors,Liga Profesional (- 23/24),Al-Qadsiah,Saudi Pro League,18.7
Stefanos Tzimas,19,Centre-Forward,Greece,10.0,PAOK Salonika,Super League 1,1.FC Nuremberg,2. Bundesliga,18.0
Iliman Ndiaye,24,Left Winger,Senegal,15.0,Marseille,Ligue 1,Everton,Premier League,18.0
Gabriel Sara,25,Central Midfield,Brazil,18.0,Norwich,Championship,Galatasaray,Süper Lig,18.0
Adam Hlozek,22,Second Striker,Czech Republic,12.0,B. Leverkusen,Bundesliga,TSG Hoffenheim,Bundesliga,18.0
Marshall Munetsi,28,Central Midfield,Zimbabwe,10.0,Stade Reims,Ligue 1,Wolves,Premier League,18.0
Carlos Alcaraz,21,Central Midfield,Argentina,15.0,Southampton,Premier League,Flamengo,Série A,18.0
Paulinho,24,Left Winger,Brazil,17.0,Atlético-MG,Série A,Palmeiras,Série A,18.0
Logan Costa,23,Centre-Back,Cape Verde,12.0,Toulouse,Ligue 1,Villarreal,LaLiga,18.0
Mike Trésor,25,Left Winger,Belgium,12.0,KRC Genk,Jupiler Pro League,Burnley,Championship,18.0
Yáser Asprilla,20,Right Winger,Colombia,9.0,Watford,Championship,Girona,LaLiga,18.0
Bento,25,Goalkeeper,Brazil,15.0,Athletico-PR,Série A,Al-Nassr,Saudi Pro League,18.0
Wesley,19,Left Winger,Brazil,10.0,Corinthians,Série A,Al-Nassr,Saudi Pro League,18.0
Enes Ünal,27,Centre-Forward,Türkiye,18.0,Getafe,LaLiga,Bournemouth,Premier League,16.5
Zeno Debast,20,Centre-Back,Belgium,18.0,RSC Anderlecht,Jupiler Pro League,Sporting CP,Liga Portugal,15.5
Emerson Royal,25,Right-Back,Brazil,18.0,Tottenham,Premier League,AC Milan,Serie A,15.0
Ismaïla Sarr,26,Right Winger,Senegal,18.0,Marseille,Ligue 1,Crystal Palace,Premier League,15.0
Thijs Dallinga,23,Centre-Forward,Netherlands,18.0,Toulouse,Ligue 1,Bologna,Serie A,15.0
Billy Gilmour,23,Defensive Midfield,Scotland,18.0,Brighton,Premier League,Napoli,Serie A,14.0
