Name,Age,Position,Player Nationality,Market Value,Left,LeagueLefted,Joined,LeagueJoined,Fee
Ângelo,19,Right Winger,Brazil,15.0,Chelsea,Premier League,Al-Nassr,Saudi Pro League,23.0
Jeanuël Belocian,19,Centre-Back,France,10.0,Stade Rennais,Ligue 1,B. Leverkusen,Bundesliga,15.0
Lamine Camara,20,Central Midfield,Senegal,10.0,FC Metz,Ligue 2,Monaco,Ligue 1,15.0
Mateus Fernandes,20,Central Midfield,Portugal,8.0,Sporting CP,Liga Portugal,Southampton,Premier League,15.0
Marin Pongračić,26,Centre-Back,Croatia,7.0,Lecce,Serie A,Fiorentina,Serie A,15.0
Rodrigo Gomes,20,Right Midfield,Portugal,12.0,SC Braga,Liga Portugal,Wolves,Premier League,15.0
Álvaro Djaló,24,Left Winger,Spain,15.0,SC Braga,Liga Portugal,Athletic,LaLiga,15.0
Mathis Amougou,19,Central Midfield,France,5.0,Saint-Étienne,Ligue 1,Chelsea,Premier League,15.0
Chadi Riad,21,Centre-Back,Morocco,15.0,Real Betis,LaLiga,Crystal Palace,Premier League,15.0
Maxence Caqueret,24,Central Midfield,France,15.0,Olympique Lyon,Ligue 1,Como,Serie A,15.0
Cameron Puertas,26,Attacking Midfield,Spain,15.0,Union SG,Jupiler Pro League,Al-Qadsiah,Saudi Pro League,15.0
Brice Samba,30,Goalkeeper,France,15.0,Lens,Ligue 1,Stade Rennais,Ligue 1,14.0
Georges Mikautadze,23,Centre-Forward,Georgia,15.0,Ajax,Eredivisie,FC Metz,Ligue 2,13.0
Nikola Milenković,26,Centre-Back,Serbia,15.0,Fiorentina,Serie A,Nottm Forest,Premier League,12.3
Kerem Aktürkoğlu,25,Left Winger,Türkiye,15.0,Galatasaray,Süper Lig,Benfica,Liga Portugal,12.0
Gastón Álvarez,24,Centre-Back,Uruguay,15.0,Getafe,LaLiga,Al-Qadsiah,Saudi Pro League,12.0
Morato,23,Centre-Back,Brazil,15.0,Benfica,Liga Portugal,Nottm Forest,Premier League,11.0
Luka Sucic,21,Central Midfield,Croatia,15.0,RB Salzburg,Bundesliga,Real Sociedad,LaLiga,10.0
Chadi Riad,21,Centre-Back,Morocco,15.0,Barcelona,LaLiga,Real Betis,LaLiga,9.0
Niklas Beste,25,Left Winger,Germany,15.0,Heidenheim,Bundesliga,Benfica,Liga Portugal,8.0
Roland Sallai,27,Right Winger,Hungary,15.0,SC Freiburg,Bundesliga,Galatasaray,Süper Lig,6.0
Jordan Veretout,31,Central Midfield,France,15.0,Marseille,Ligue 1,Olympique Lyon,Ligue 1,4.0
Carney Chukwuemeka,21,Central Midfield,England,15.0,Chelsea,Premier League,Bor. Dortmund,Bundesliga,
Andrea Pinamonti,25,Centre-Forward,Italy,15.0,Sassuolo,Serie B,Genoa,Serie A,
Amar Dedic,22,Right-Back,Bosnia-Herzegovina,15.0,RB Salzburg,Bundesliga,Marseille,Ligue 1,1.5
Yacine Adli,24,Defensive Midfield,France,15.0,AC Milan,Serie A,Fiorentina,Serie A,
Noah Okafor,24,Left Winger,Switzerland,15.0,AC Milan,Serie A,Napoli,Serie A,
Valentín Carboni,19,Attacking Midfield,Argentina,15.0,Inter,Serie A,Marseille,Ligue 1,
Milan Škriniar,29,Centre-Back,Slovakia,15.0,Paris SG,Ligue 1,Fenerbahce,Süper Lig,
Albert Grønbæk,23,Attacking Midfield,Denmark,15.0,Stade Rennais,Ligue 1,Southampton,Premier League,
Neymar,32,Attacking Midfield,Brazil,15.0,Al-Hilal,Saudi Pro League,Santos,Série A,
Fabio Miretti,21,Central Midfield,Italy,15.0,Juventus,Serie A,Genoa,Serie A,
İlkay Gündoğan,33,Central Midfield,Germany,15.0,Barcelona,LaLiga,Man City,Premier League,
Albert Sambi Lokonga,24,Central Midfield,Belgium,15.0,Arsenal,Premier League,Sevilla FC,LaLiga,
Tyrell Malacia,25,Left-Back,Netherlands,15.0,Man Utd,Premier League,PSV Eindhoven,Eredivisie,
Nuno Tavares,24,Left-Back,Portugal,15.0,Arsenal,Premier League,Lazio,Serie A,
Ché Adams,28,Centre-Forward,Scotland,15.0,Southampton,Premier League,Torino,Serie A,
Reiss Nelson,24,Right Winger,England,15.0,Arsenal,Premier League,Fulham,Premier League,
Callum Doyle,20,Centre-Back,England,15.0,Man City U21,Premier League 2,Norwich,Championship,
Marcus Edwards,26,Right Winger,England,15.0,Sporting CP,Liga Portugal,Burnley,Championship,
Gabriel Moscardo,18,Defensive Midfield,Brazil,15.0,Paris SG,Ligue 1,Stade Reims,Ligue 1,
Romain Faivre,26,Right Midfield,France,15.0,Bournemouth,Premier League,Stade Brestois,Ligue 1,
Saïd Benrahma,29,Left Winger,Algeria,15.0,Olympique Lyon,Ligue 1,NEOM SC,Saudi First Division League,
Cristian Medina,22,Central Midfield,Argentina,12.0,Boca Juniors,Torneo Apertura,Estudiantes LP,Torneo Apertura,14.6
Santiago Rodríguez,25,Attacking Midfield,Uruguay,4.5,New York City,MLS,Botafogo,Série A,14.3
Dara O'Shea,25,Centre-Back,Ireland,7.0,Burnley,Championship,Ipswich,Premier League,14.2
Romain Esse,19,Right Winger,England,5.0,Millwall,Championship,Crystal Palace,Premier League,14.2
Petar Sucic,21,Defensive Midfield,Croatia,14.0,Dinamo Zagreb,SuperSport HNL,Inter,Serie A,14.0
Esequiel Barco,25,Attacking Midfield,Argentina,9.0,River Plate,Liga Profesional (- 23/24),Spartak Moscow,Premier Liga,14.0
Samuel Iling-Junior,20,Left Winger,England,13.0,Juventus,Serie A,Aston Villa,Premier League,14.0
Renato Veiga,20,Centre-Back,Portugal,3.0,FC Basel,Super League,Chelsea,Premier League,14.0
Alisson,19,Right Winger,Brazil,4.5,Atlético-MG,Série A,Shakhtar D.,Premier Liga,14.0
Caleb Okoli,22,Centre-Back,Italy,8.0,Atalanta BC,Serie A,Leicester,Premier League,14.0
Thierno Barry,21,Centre-Forward,France,4.0,FC Basel,Super League,Villarreal,LaLiga,14.0
Moise Kean,24,Centre-Forward,Italy,14.0,Juventus,Serie A,Fiorentina,Serie A,13.0
Kyogo Furuhashi,30,Centre-Forward,Japan,14.0,Celtic,Premiership,Stade Rennais,Ligue 1,12.0
Facundo Torres,24,Left Winger,Uruguay,14.0,Orlando,MLS,Palmeiras,Série A,11.5
Evander,26,Attacking Midfield,Brazil,14.0,Portland,MLS,Cincinnati,MLS,11.5
Moatasem Al-Musrati,28,Defensive Midfield,Libya,14.0,SC Braga,Liga Portugal,Besiktas,Süper Lig,11.0
Vitinha,24,Centre-Forward,Portugal,14.0,Marseille,Ligue 1,Genoa,Serie A,8.3
Niklas Beste,26,Left Winger,Germany,14.0,Benfica,Liga Portugal,SC Freiburg,Bundesliga,8.0
Nicolò Casale,26,Centre-Back,Italy,14.0,Lazio,Serie A,Bologna,Serie A,
Ismaël Bennacer,27,Defensive Midfield,Algeria,14.0,AC Milan,Serie A,Marseille,Ligue 1,
Victor Nelsson,26,Centre-Back,Denmark,14.0,Galatasaray,Süper Lig,AS Roma,Serie A,
Carlos Alcaraz,22,Central Midfield,Argentina,14.0,Flamengo,Série A,Everton,Premier League,
Rafa Silva,31,Second Striker,Portugal,14.0,Benfica,Liga Portugal,Besiktas,Süper Lig,
Gavin Bazunu,22,Goalkeeper,Ireland,14.0,Southampton,Premier League,Standard Liège,Jupiler Pro League,
Philip Billing,28,Central Midfield,Denmark,14.0,Bournemouth,Premier League,Napoli,Serie A,
Bryan Gil,23,Left Winger,Spain,14.0,Tottenham,Premier League,Girona,LaLiga,
Alberto Costa,21,Right-Back,Portugal,1.0,Vit. Guimarães,Liga Portugal,Juventus,Serie A,13.8
Julián Quiñones,27,Centre-Forward,Mexico,10.0,América,Liga MX Apertura,Al-Qadsiah,Saudi Pro League,13.8
Maxi Araújo,24,Left Midfield,Uruguay,7.5,Toluca,Liga MX Apertura,Sporting CP,Liga Portugal,13.6
Josep Martínez,26,Goalkeeper,Spain,8.0,Genoa,Serie A,Inter,Serie A,13.5
Kamil Grabara,25,Goalkeeper,Poland,12.0,FC Copenhagen,Superliga,VfL Wolfsburg,Bundesliga,13.5
Helinho,24,Right Winger,Brazil,7.0,RB Bragantino,Série A,Toluca,Liga MX Apertura,13.5
Bryan Zaragoza,22,Left Winger,Spain,12.0,Granada CF,LaLiga2,Bayern Munich,Bundesliga,13.0
Mika Biereth,21,Centre-Forward,Denmark,13.0,Sturm Graz,Bundesliga,Monaco,Ligue 1,13.0
Anthony Rouault,23,Centre-Back,France,10.0,VfB Stuttgart,Bundesliga,Stade Rennais,Ligue 1,13.0
Cesare Casadei,22,Central Midfield,Italy,10.0,Chelsea,Premier League,Torino,Serie A,13.0
Eli Junior Kroupi,18,Centre-Forward,France,10.0,FC Lorient,Ligue 2,Bournemouth,Premier League,13.0
Anastasios Douvikas,25,Centre-Forward,Greece,5.0,Celta de Vigo,LaLiga,Como,Serie A,13.0
Diego Gómez,21,Central Midfield,Paraguay,12.0,Miami,MLS,Brighton,Premier League,13.0
Ramón Sosa,24,Left Winger,Paraguay,13.0,CA Talleres,Liga Profesional (- 23/24),Nottm Forest,Premier League,12.0
Mandela Keita,22,Defensive Midfield,Belgium,13.0,Royal Antwerp,Jupiler Pro League,Parma,Serie A,11.9
Álvaro Morata,32,Centre-Forward,Spain,13.0,AC Milan,Serie A,Galatasaray,Süper Lig,
Mandela Keita,22,Defensive Midfield,Belgium,13.0,OH Leuven,Jupiler Pro League,Royal Antwerp,Jupiler Pro League,5.0
Daniel Podence,28,Right Winger,Portugal,13.0,Wolves,Premier League,Al-Shabab,Saudi Pro League,5.0
Nehuén Pérez,24,Centre-Back,Argentina,13.0,Udinese,Serie A,FC Porto,Liga Portugal,
Valentín Barco,20,Left-Back,Argentina,13.0,Brighton,Premier League,Sevilla FC,LaLiga,
Manor Solomon,25,Left Winger,Israel,13.0,Tottenham,Premier League,Leeds,Championship,
Álex Moreno,31,Left-Back,Spain,13.0,Aston Villa,Premier League,Nottm Forest,Premier League,
Trevoh Chalobah,25,Centre-Back,England,13.0,Chelsea,Premier League,Crystal Palace,Premier League,
Samuel Iling-Junior,20,Left Winger,England,13.0,Aston Villa,Premier League,Bologna,Serie A,
Arnaut Danjuma,27,Left Winger,Netherlands,13.0,Villarreal,LaLiga,Girona,LaLiga,
Juan Cabal,23,Left-Back,Colombia,3.5,Hellas Verona,Serie A,Juventus,Serie A,12.8
Kevin Castaño,24,Defensive Midfield,Colombia,6.0,Krasnodar,Premier Liga,River Plate,Torneo Apertura,12.6
Ben Godfrey,26,Centre-Back,England,10.0,Everton,Premier League,Atalanta BC,Serie A,12.5
Albert Grønbæk,23,Attacking Midfield,Denmark,12.0,Bodø/Glimt,Eliteserien,Stade Rennais,Ligue 1,15.0
Ismaël Koné,22,Central Midfield,Canada,11.0,Watford,Championship,Marseille,Ligue 1,12.0
Manu Silva,23,Defensive Midfield,Portugal,3.0,Vit. Guimarães,Liga Portugal,Benfica,Liga Portugal,12.0
Jair Cunha,19,Centre-Back,Brazil,5.0,Santos,Série A,Botafogo,Série A,12.0
Nasser Djiga,22,Centre-Back,Burkina Faso,7.0,Red Star,Super liga Srbije,Wolves,Premier League,12.0
Sékou Mara,22,Centre-Forward,France,6.0,Southampton,Premier League,R. Strasbourg,Ligue 1,12.0
Luciano Gondou,23,Centre-Forward,Argentina,10.0,Argentinos Jrs.,Liga Profesional (- 23/24),Zenit S-Pb,Premier Liga,12.0
Assane Diao,19,Right Winger,Senegal,9.0,Real Betis,LaLiga,Como,Serie A,12.0
Luiz Júnior,23,Goalkeeper,Brazil,6.0,Famalicão,Liga Portugal,Villarreal,LaLiga,12.0
Maxime Estève,22,Centre-Back,France,7.0,Montpellier,Ligue 1,Burnley,Championship,12.0
Gustavo Nunes,18,Left Winger,Brazil,10.0,Grêmio,Série A,Brentford,Premier League,12.0
Rafa Marín,22,Centre-Back,Spain,7.5,Real Madrid,LaLiga,Napoli,Serie A,12.0
Houssem Aouar,26,Attacking Midfield,Algeria,10.0,AS Roma,Serie A,Al-Ittihad,Saudi Pro League,12.0
Myrto Uzuni,29,Left Winger,Albania,5.0,Granada CF,LaLiga2,Austin,MLS,12.0
Hirving Lozano,29,Left Winger,Mexico,12.0,PSV Eindhoven,Eredivisie,San Diego,MLS,12.0
Can Uzun,18,Attacking Midfield,Türkiye,12.0,1.FC Nuremberg,2. Bundesliga,E. Frankfurt,Bundesliga,11.0
David Carmo,25,Centre-Back,Angola,12.0,FC Porto,Liga Portugal,Nottm Forest,Premier League,11.0
Mauricio,23,Attacking Midfield,Brazil,12.0,Internacional,Série A,Palmeiras,Série A,10.5
Alexander Prass,23,Left-Back,Austria,12.0,Sturm Graz,Bundesliga,TSG Hoffenheim,Bundesliga,9.5
Ameen Al-Dakhil,22,Centre-Back,Belgium,12.0,Burnley,Championship,VfB Stuttgart,Bundesliga,9.0
Abel Ruiz,24,Centre-Forward,Spain,12.0,SC Braga,Liga Portugal,Girona,LaLiga,9.0
Koni De Winter,22,Centre-Back,Belgium,12.0,Juventus,Serie A,Genoa,Serie A,8.0
Lorenzo Lucca,23,Centre-Forward,Italy,12.0,Pisa,Serie B,Udinese,Serie A,8.0
Emil Holm,24,Right-Back,Sweden,12.0,Spezia Calcio,Serie B,Bologna,Serie A,7.7
Yukinari Sugawara,24,Right-Back,Japan,12.0,AZ Alkmaar,Eredivisie,Southampton,Premier League,7.0
Jota Silva,25,Right Winger,Portugal,12.0,Vit. Guimarães,Liga Portugal,Nottm Forest,Premier League,7.0
Devyne Rensch,22,Right-Back,Netherlands,12.0,Ajax,Eredivisie,AS Roma,Serie A,5.0
Eren Dinkçi,22,Right Winger,Türkiye,12.0,Werder Bremen,Bundesliga,SC Freiburg,Bundesliga,5.0
Jonathan Clauss,31,Right-Back,France,12.0,Marseille,Ligue 1,OGC Nice,Ligue 1,5.0
Zeki Amdouni,23,Centre-Forward,Switzerland,12.0,Burnley,Championship,Benfica,Liga Portugal,
Natan,23,Centre-Back,Brazil,12.0,Napoli,Serie A,Real Betis,LaLiga,
Ismaël Koné,22,Central Midfield,Canada,12.0,Marseille,Ligue 1,Stade Rennais,Ligue 1,
Robin Gosens,30,Left-Back,Germany,12.0,Union Berlin,Bundesliga,Fiorentina,Serie A,
Neal Maupay,28,Centre-Forward,France,12.0,Everton,Premier League,Marseille,Ligue 1,
Azzedine Ounahi,24,Central Midfield,Morocco,12.0,Marseille,Ligue 1,Panathinaikos,Super League 1,
Bryan Zaragoza,22,Left Winger,Spain,12.0,Bayern Munich,Bundesliga,CA Osasuna,LaLiga,
Alexis Saelemaekers,25,Right Winger,Belgium,12.0,AC Milan,Serie A,AS Roma,Serie A,
Eric Dier,30,Centre-Back,England,12.0,Tottenham,Premier League,Bayern Munich,Bundesliga,
Talisca,30,Attacking Midfield,Brazil,12.0,Al-Nassr,Saudi Pro League,Fenerbahce,Süper Lig,
Mads Roerslev,25,Right-Back,Denmark,12.0,Brentford,Premier League,VfL Wolfsburg,Bundesliga,
Ibrahim Osman,19,Left Winger,Ghana,12.0,Brighton,Premier League,Feyenoord,Eredivisie,
Lilian Brassier,24,Centre-Back,France,12.0,Stade Brestois,Ligue 1,Marseille,Ligue 1,
Kelechi Iheanacho,27,Centre-Forward,Nigeria,12.0,Leicester,Premier League,Sevilla FC,LaLiga,
Eljif Elmas,25,Attacking Midfield,North Macedonia,12.0,RB Leipzig,Bundesliga,Torino,Serie A,
David Carmo,25,Centre-Back,Angola,12.0,Nottm Forest,Premier League,Olympiacos,Super League 1,
Tiago Djaló,24,Centre-Back,Portugal,12.0,Juventus,Serie A,FC Porto,Liga Portugal,
Kepa Arrizabalaga,29,Goalkeeper,Spain,12.0,Chelsea,Premier League,Bournemouth,Premier League,
David Datro Fofana,21,Centre-Forward,Cote d'Ivoire,12.0,Chelsea,Premier League,Göztepe,Süper Lig,
Sam Johnstone,31,Goalkeeper,England,10.0,Crystal Palace,Premier League,Wolves,Premier League,11.9
Tom Cannon,22,Centre-Forward,Ireland,6.0,Leicester,Premier League,Sheff Utd,Championship,11.85
Joe Rodon,26,Centre-Back,Wales,8.0,Tottenham,Premier League,Leeds,Championship,11.8
Lewis Dobbin,21,Left Winger,England,2.5,Everton,Premier League,Aston Villa,Premier League,11.8
Bobby Clark,19,Central Midfield,England,1.0,Liverpool U21,Premier League 2,RB Salzburg,Bundesliga,11.8
Aleksey Miranchuk,28,Attacking Midfield,Russia,10.0,Atalanta BC,Serie A,Atlanta,MLS,11.8
Konstantinos Koulierakis,20,Centre-Back,Greece,8.0,PAOK Salonika,Super League 1,VfL Wolfsburg,Bundesliga,11.75
William Osula,21,Centre-Forward,Denmark,3.0,Sheff Utd,Championship,Newcastle,Premier League,11.6
Diego Carlos,31,Centre-Back,Brazil,11.0,Aston Villa,Premier League,Fenerbahce,Süper Lig,11.47
Thilo Kehrer,27,Centre-Back,Germany,10.0,West Ham,Premier League,Monaco,Ligue 1,11.0
Benjamín Rollheiser,24,Right Winger,Argentina,10.0,Benfica,Liga Portugal,Santos,Série A,11.0
Arne Engels,20,Central Midfield,Belgium,9.0,FC Augsburg,Bundesliga,Celtic,Premiership,11.0
Sebastian Nanasi,22,Left Midfield,Sweden,8.0,Malmö FF,Allsvenskan,R. Strasbourg,Ligue 1,11.0
Ante Crnac,20,Centre-Forward,Croatia,2.0,Raków,Ekstraklasa,Norwich,Championship,11.0
Luciano Rodríguez,21,Centre-Forward,Uruguay,8.0,Liverpool FC,Liga AUF Clausura,EC Bahia,Série A,11.0
Luis Alberto,31,Attacking Midfield,Spain,11.0,Lazio,Serie A,Al-Duhail SC,Stars League,10.3
Maarten Vandevoordt,22,Goalkeeper,Belgium,11.0,KRC Genk,Jupiler Pro League,RB Leipzig,Bundesliga,10.0
Morgan Whittaker,24,Right Winger,England,11.0,Plymouth,Championship,Middlesbrough,Championship,7.1
Maksim Glushenkov,24,Second Striker,Russia,11.0,Loko Moscow,Premier Liga,Zenit S-Pb,Premier Liga,6.3
Wilfried Zaha,31,Left Winger,Cote d'Ivoire,11.0,Galatasaray,Süper Lig,Olympique Lyon,Ligue 1,
Fedor Chalov,26,Centre-Forward,Russia,11.0,CSKA Moscow,Premier Liga,PAOK Salonika,Super League 1,3.0
Moatasem Al-Musrati,28,Defensive Midfield,Libya,11.0,Besiktas,Süper Lig,Monaco,Ligue 1,
Stefan Bajcetic,19,Defensive Midfield,Spain,11.0,Liverpool,Premier League,RB Salzburg,Bundesliga,
Fábio Silva,22,Centre-Forward,Portugal,11.0,Wolves,Premier League,UD Las Palmas,LaLiga,
Samuel Iling-Junior,21,Left Winger,England,11.0,Aston Villa,Premier League,Middlesbrough,Championship,
Andrew Omobamidele,22,Centre-Back,Ireland,11.0,Nottm Forest,Premier League,R. Strasbourg,Ligue 1,
Habib Diallo,29,Centre-Forward,Senegal,11.0,Al-Shabab,Saudi Pro League,Damac FC,Saudi Pro League,
Eiran Cashin,23,Centre-Back,Ireland,1.8,Derby,Championship,Brighton,Premier League,10.75
Tim Iroegbunam,21,Central Midfield,England,4.0,Aston Villa,Premier League,Everton,Premier League,10.7
Sammie Szmodics,28,Attacking Midfield,Ireland,7.0,Blackburn,Championship,Ipswich,Premier League,10.6
Bamo Meïté,22,Centre-Back,Cote d'Ivoire,6.0,FC Lorient,Ligue 2,Marseille,Ligue 1,10.5
Mikayil Faye,20,Centre-Back,Senegal,10.0,Barcelona,LaLiga,Stade Rennais,Ligue 1,10.3
Caleb Wiley,19,Left-Back,United States,5.0,Atlanta,MLS,Chelsea,Premier League,10.1
Issahaku Fatawu,20,Right Winger,Ghana,10.0,Sporting CP,Liga Portugal,Leicester,Premier League,16.25
Tijjani Noslin,24,Right Winger,Netherlands,10.0,Hellas Verona,Serie A,Lazio,Serie A,15.9
Warren Bondo,21,Central Midfield,France,7.0,Monza,Serie A,AC Milan,Serie A,10.0
Lucas Bergvall,18,Central Midfield,Sweden,10.0,Djurgården,Allsvenskan,Tottenham,Premier League,10.0
Pablo Solari,23,Right Winger,Argentina,7.0,River Plate,Torneo Apertura,Spartak Moscow,Premier Liga,10.0
Glen Kamara,28,Central Midfield,Finland,6.0,Leeds,Championship,Stade Rennais,Ligue 1,10.0
Carlos Andrés Gómez,21,Right Winger,Colombia,5.0,Salt Lake,MLS,Stade Rennais,Ligue 1,10.0
Jota,25,Left Winger,Portugal,8.0,Stade Rennais,Ligue 1,Celtic,Premiership,10.0
Joane Gadou,17,Centre-Back,France,5.0,Paris SG U19,National U19 - Grp. A,RB Salzburg,Bundesliga,10.0
Bazoumana Touré,18,Left Winger,Cote d'Ivoire,9.0,Hammarby,Allsvenskan,TSG Hoffenheim,Bundesliga,10.0
Artur,26,Right Winger,Brazil,8.0,Zenit S-Pb,Premier Liga,Botafogo,Série A,10.0
Rwan Cruz,23,Centre-Forward,Brazil,3.5,Ludogorets,efbet Liga,Botafogo,Série A,10.0
Matheus Martins,21,Left Winger,Brazil,7.0,Udinese,Serie A,Botafogo,Série A,10.0
Pedro Lima,18,Right-Back,Brazil,2.5,Sport Recife,Série B,Wolves,Premier League,10.0
Rafa Mujica,25,Centre-Forward,Spain,8.0,Arouca,Liga Portugal,Al-Sadd,Stars League,10.0
Mamadou Sarr,18,Centre-Back,France,1.0,Olympique Lyon,Ligue 1,R. Strasbourg,Ligue 1,10.0
Daniel Maldini,23,Attacking Midfield,Italy,6.0,Monza,Serie A,Atalanta BC,Serie A,10.0
Aleksandr Sobolev,27,Centre-Forward,Russia,7.5,Spartak Moscow,Premier Liga,Zenit S-Pb,Premier Liga,10.0
Julián Araujo,23,Right-Back,Mexico,8.0,Barcelona,LaLiga,Bournemouth,Premier League,10.0
Matthis Abline,21,Centre-Forward,France,6.0,Stade Rennais,Ligue 1,FC Nantes,Ligue 1,10.0
Nicolò Cambiaghi,23,Left Winger,Italy,7.0,Atalanta BC,Serie A,Bologna,Serie A,10.0
Willy Kambwala,19,Centre-Back,France,5.0,Man Utd,Premier League,Villarreal,LaLiga,10.0
Matías Fernández-Pardo,19,Centre-Forward,Spain,3.0,KAA Gent,Jupiler Pro League,LOSC Lille,Ligue 1,10.0
Assan Ouédraogo,18,Central Midfield,Germany,10.0,FC Schalke 04,2. Bundesliga,RB Leipzig,Bundesliga,10.0
Benjamín Rollheiser,24,Right Winger,Argentina,10.0,Estudiantes LP,Liga Profesional (- 23/24),Benfica,Liga Portugal,9.5
Reda Belahyane,20,Defensive Midfield,Morocco,10.0,Hellas Verona,Serie A,Lazio,Serie A,9.5
Gift Orban,22,Centre-Forward,Nigeria,10.0,Olympique Lyon,Ligue 1,TSG Hoffenheim,Bundesliga,9.0
Érick Sánchez,24,Central Midfield,Mexico,10.0,Pachuca,Liga MX Apertura,América,Liga MX Apertura,9.0
David García,30,Centre-Back,Spain,10.0,CA Osasuna,LaLiga,Al-Rayyan,Stars League,8.75
Sergio Gómez,23,Right Winger,Spain,10.0,Man City,Premier League,Real Sociedad,LaLiga,8.7
Çağlar Söyüncü,28,Centre-Back,Türkiye,10.0,Atlético Madrid,LaLiga,Fenerbahce,Süper Lig,8.5
Mateusz Bogusz,23,Attacking Midfield,Poland,10.0,LAFC,MLS,CD Cruz Azul,Liga MX Apertura,8.5
Predrag Rajković,28,Goalkeeper,Serbia,10.0,RCD Mallorca,LaLiga,Al-Ittihad,Saudi Pro League,8.0
Ladislav Krejci,25,Centre-Back,Czech Republic,10.0,Sparta Prague,Chance Liga,Girona,LaLiga,8.0
Tetê,24,Right Winger,Brazil,10.0,Galatasaray,Süper Lig,Panathinaikos,Super League 1,7.25
Lucas Martínez Quarta,28,Centre-Back,Argentina,10.0,Fiorentina,Serie A,River Plate,Torneo Apertura,7.0
Christos Tzolis,22,Left Winger,Greece,10.0,F. Düsseldorf,2. Bundesliga,Club Brugge,Jupiler Pro League,6.5
Facundo Pellistri,22,Left Winger,Uruguay,10.0,Man Utd,Premier League,Panathinaikos,Super League 1,6.0
Nico Paz,19,Attacking Midfield,Argentina,10.0,RM Castilla,Primera Federación - Gr. II,Como,Serie A,6.0
Anders Dreyer,26,Right Winger,Denmark,10.0,RSC Anderlecht,Jupiler Pro League,San Diego,MLS,5.5
Tommy Doyle,22,Central Midfield,England,10.0,Man City,Premier League,Wolves,Premier League,5.0
Nabil Fekir,31,Attacking Midfield,France,10.0,Real Betis,LaLiga,Al-Jazira,UAE Pro League,5.0
Guillermo Maripán,30,Centre-Back,Chile,10.0,Monaco,Ligue 1,Torino,Serie A,4.6
Renato Veiga,21,Centre-Back,Portugal,10.0,Chelsea,Premier League,Juventus,Serie A,
Christos Tzolis,22,Left Winger,Greece,10.0,Norwich,Championship,F. Düsseldorf,2. Bundesliga,3.5
Jakub Moder,25,Central Midfield,Poland,10.0,Brighton,Premier League,Feyenoord,Eredivisie,1.5
Jens Cajuste,25,Defensive Midfield,Sweden,10.0,Napoli,Serie A,Ipswich,Premier League,
Stefan Posch,27,Centre-Back,Austria,10.0,Bologna,Serie A,Atalanta BC,Serie A,
Nicola Zalewski,23,Left Midfield,Poland,10.0,AS Roma,Serie A,Inter,Serie A,
Silas,25,Right Winger,DR Congo,10.0,VfB Stuttgart,Bundesliga,Red Star,Super liga Srbije,
Kyle Walker,34,Right-Back,England,10.0,Man City,Premier League,AC Milan,Serie A,
Clément Lenglet,29,Centre-Back,France,10.0,Barcelona,LaLiga,Atlético Madrid,LaLiga,
Mario Hermoso,29,Centre-Back,Spain,10.0,AS Roma,Serie A,B. Leverkusen,Bundesliga,
Nordi Mukiele,26,Right-Back,France,10.0,Paris SG,Ligue 1,B. Leverkusen,Bundesliga,
Rasmus Kristensen,27,Right-Back,Denmark,10.0,Leeds,Championship,E. Frankfurt,Bundesliga,
Mehdi Taremi,31,Centre-Forward,Iran,10.0,FC Porto,Liga Portugal,Inter,Serie A,
Salih Özcan,26,Defensive Midfield,Türkiye,10.0,Bor. Dortmund,Bundesliga,VfL Wolfsburg,Bundesliga,
Lilian Brassier,25,Centre-Back,France,10.0,Stade Brestois,Ligue 1,Stade Rennais,Ligue 1,
Issa Kaboré,23,Right-Back,Burkina Faso,10.0,Man City,Premier League,Benfica,Liga Portugal,
Boulaye Dia,27,Centre-Forward,Senegal,10.0,Salernitana,Serie B,Lazio,Serie A,
Ben Doak,18,Right Winger,Scotland,10.0,Liverpool,Premier League,Middlesbrough,Championship,
Ryan Sessegnon,24,Left-Back,England,10.0,Tottenham,Premier League,Fulham,Premier League,
Tommaso Pobega,25,Central Midfield,Italy,10.0,AC Milan,Serie A,Bologna,Serie A,
Shea Charles,20,Defensive Midfield,Northern Ireland,10.0,Southampton,Premier League,Sheff Wed,Championship,
Eli Junior Kroupi,18,Centre-Forward,France,10.0,Bournemouth,Premier League,FC Lorient,Ligue 2,
Sébastien Haller,30,Centre-Forward,Cote d'Ivoire,10.0,Bor. Dortmund,Bundesliga,CD Leganés,LaLiga,
Pau López,29,Goalkeeper,Spain,10.0,Marseille,Ligue 1,Girona,LaLiga,
Sebastián Driussi,28,Centre-Forward,Argentina,6.0,Austin,MLS,River Plate,Torneo Apertura,9.75
Brandon Vazquez,26,Centre-Forward,United States,6.0,Monterrey,Liga MX Apertura,Austin,MLS,9.6
Arijanet Muric,25,Goalkeeper,Kosovo,7.0,Burnley,Championship,Ipswich,Premier League,9.55
Chiedozie Ogbene,27,Right Winger,Ireland,8.0,Luton,Championship,Ipswich,Premier League,9.5
Georgios Giakoumakis,29,Centre-Forward,Greece,8.0,Atlanta,MLS,CD Cruz Azul,Liga MX Apertura,9.33
Flynn Downes,25,Defensive Midfield,England,9.0,West Ham,Premier League,Southampton,Premier League,17.85
Mika Biereth,21,Centre-Forward,Denmark,7.0,Arsenal U21,Premier League 2,Sturm Graz,Bundesliga,9.0
