PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Charles De Ketelaere,Attacking Midfield,23,34.00m,Belgium,AC Milan,Atalanta BC,23.20m
Lewis Hall,Left-Back,19,18.00m,England,Chelsea FC,Newcastle United,0
Luiz Henrique,Right Winger,24,22.00m,Brazil,Botafogo de Futebol e Regatas,Zenit St. Petersburg,0
Igor Thiago,Centre-Forward,23,25.00m,Brazil,Club Brugge KV,Brentford FC,0
Alexander Sørloth,Centre-Forward,28,25.00m,Norway,Villarreal CF,Atlético de Madrid,0
Mats Wieffer,Defensive Midfield,24,30.00m,Netherlands,Feyenoord Rotterdam,Brighton & Hove Albion,0
Scott McTominay,Central Midfield,27,32.00m,Scotland,Manchester United,SSC Napoli,30.50m
Lutsharel Geertruida,Right-Back,24,32.00m,Netherlands,Feyenoord Rotterdam,RB Leipzig,20.00m
Moussa Niakhaté,Centre-Back,28,16.00m,Senegal,Nottingham Forest,Olympique Lyon,0
Emile Smith Rowe,Attacking Midfield,24,22.00m,England,Arsenal FC,Fulham FC,0
Patrick Dorgu,Left Midfield,20,20.00m,Denmark,US Lecce,Manchester United,0
Ferdi Kadıoğlu,Left-Back,24,30.00m,Türkiye,Fenerbahce,Brighton & Hove Albion,0
Romelu Lukaku,Centre-Forward,31,30.00m,Belgium,Chelsea FC,SSC Napoli,0
Eddie Nketiah,Centre-Forward,25,30.00m,England,Arsenal FC,Crystal Palace,29.70m
Maximilian Beier,Centre-Forward,21,30.00m,Germany,TSG 1899 Hoffenheim,Borussia Dortmund,28.50m
Hiroki Ito,Centre-Back,25,30.00m,Japan,VfB Stuttgart,Bayern Munich,23.50m
Bilal El Khannouss,Attacking Midfield,20,30.00m,Morocco,KRC Genk,Leicester City,22.50m
Youssouf Fofana,Defensive Midfield,25,30.00m,France,AS Monaco,AC Milan,20.00m
Noussair Mazraoui,Right-Back,26,30.00m,Morocco,Bayern Munich,Manchester United,15.00m
Mathys Tel,Centre-Forward,19,30.00m,France,Bayern Munich,Tottenham Hotspur,Loan fee:10.00m
Axel Disasi,Right-Back,26,30.00m,France,Chelsea FC,Aston Villa,Loan fee:6.00m
Albert Gudmundsson,Second Striker,27,30.00m,Iceland,Genoa CFC,ACF Fiorentina,Loan fee:5.85m
João Félix,Second Striker,25,30.00m,Portugal,Chelsea FC,AC Milan,Loan fee:5.50m
Randal Kolo Muani,Centre-Forward,26,30.00m,France,Paris Saint-Germain,Juventus FC,Loan fee:3.60m
Tammy Abraham,Centre-Forward,26,30.00m,England,AS Roma,AC Milan,Loan fee:1.50m
Vitor Roque,Centre-Forward,19,30.00m,Brazil,FC Barcelona,Real Betis Balompié,loan transfer
Jadon Sancho,Left Winger,24,30.00m,England,Manchester United,Chelsea FC,loan transfer
Matt O'Riley,Central Midfield,23,20.00m,Denmark,Celtic FC,Brighton & Hove Albion,0
Wilson Odobert,Right Winger,19,10.00m,France,Burnley FC,Tottenham Hotspur,0
Crysencio Summerville,Left Winger,22,20.00m,Netherlands,Leeds United,West Ham United,0
Moteb Al-Harbi,Left-Back,24,800k,Saudi Arabia,Al-Shabab FC,Al-Hilal SFC,0
Ernest Nuamah,Right Winger,20,18.00m,Ghana,RWD Molenbeek,Olympique Lyon,0
David Neres,Left Winger,27,25.00m,Brazil,SL Benfica,SSC Napoli,0
Donyell Malen,Right Winger,25,28.00m,Netherlands,Borussia Dortmund,Aston Villa,25.00m
Ermedin Demirovic,Centre-Forward,26,28.00m,Bosnia-Herzegovina,FC Augsburg,VfB Stuttgart,23.00m
Niclas Füllkrug,Centre-Forward,31,15.00m,Germany,Borussia Dortmund,West Ham United,0
Thiago Almada,Attacking Midfield,23,27.00m,Argentina,Atlanta United FC,Botafogo de Futebol e Regatas,19.50m
Thiago Almada,Attacking Midfield,23,27.00m,Argentina,Botafogo de Futebol e Regatas,Olympique Lyon,loan transfer
Deniz Undav,Centre-Forward,28,25.00m,Germany,Brighton & Hove Albion,VfB Stuttgart,0
Mason Greenwood,Right Winger,22,25.00m,England,Manchester United,Olympique Marseille,0
Matías Soulé,Right Winger,21,25.00m,Argentina,Juventus FC,AS Roma,0
Vitor Roque,Centre-Forward,20,20.00m,Brazil,FC Barcelona,Sociedade Esportiva Palmeiras,0
Elye Wahi,Centre-Forward,22,25.00m,France,Olympique Marseille,Eintracht Frankfurt,0
João Cancelo,Right-Back,30,25.00m,Portugal,Manchester City,Al-Hilal SFC,0
Stefanos Tzimas,Centre-Forward,19,10.00m,Greece,1.FC Nuremberg,Brighton & Hove Albion,0
André,Defensive Midfield,23,25.00m,Brazil,Fluminense Football Club,Wolverhampton Wanderers,22.00m
Aaron Ramsdale,Goalkeeper,26,25.00m,England,Arsenal FC,Southampton FC,21.40m
