PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Valentín Carboni,Attacking Midfield,19,15.00m,Argentina,Inter Milan,Olympique Marseille,Loan fee:1.00m
Milan Škriniar,Centre-Back,29,15.00m,Slovakia,Paris Saint-Germain,Fenerbahce,loan transfer
Albert Grønbæk,Attacking Midfield,23,15.00m,Denmark,Stade Rennais FC,Southampton FC,loan transfer
Neymar,Attacking Midfield,32,15.00m,Brazil,Al-Hilal SFC,Santos FC,free transfer
Fabio Miretti,Central Midfield,21,15.00m,Italy,Juventus FC,Genoa CFC,loan transfer
İlkay Gündoğan,Central Midfield,33,15.00m,Germany,FC Barcelona,Manchester City,free transfer
Albert Sambi Lokonga,Central Midfield,24,15.00m,Belgium,Arsenal FC,Sevilla FC,loan transfer
Tyrell Malacia,Left-Back,25,15.00m,Netherlands,Manchester United,PSV Eindhoven,loan transfer
Nuno Tavares,Left-Back,24,15.00m,Portugal,Arsenal FC,SS Lazio,loan transfer
Ché Adams,Centre-Forward,28,15.00m,Scotland,Southampton FC,Torino FC,free transfer
Reiss Nelson,Right Winger,24,15.00m,England,Arsenal FC,Fulham FC,loan transfer
Callum Doyle,Centre-Back,20,15.00m,England,Manchester City U21,Norwich City,loan transfer
Marcus Edwards,Right Winger,26,15.00m,England,Sporting CP,Burnley FC,loan transfer
Gabriel Moscardo,Defensive Midfield,18,15.00m,Brazil,Paris Saint-Germain,Stade Reims,loan transfer
Romain Faivre,Right Midfield,26,15.00m,France,AFC Bournemouth,Stade Brestois 29,loan transfer
Saïd Benrahma,Left Winger,29,15.00m,Algeria,Olympique Lyon,NEOM SC,loan transfer
Cristian Medina,Central Midfield,22,12.00m,Argentina,CA Boca Juniors,Club Estudiantes de La Plata,0
Santiago Rodríguez,Attacking Midfield,25,4.50m,Uruguay,New York City FC,Botafogo de Futebol e Regatas,0
Dara O'Shea,Centre-Back,25,7.00m,Ireland,Burnley FC,Ipswich Town,0
Romain Esse,Right Winger,19,5.00m,England,Millwall FC,Crystal Palace,0
Esequiel Barco,Attacking Midfield,25,9.00m,Argentina,CA River Plate,Spartak Moscow,0
Samuel Iling-Junior,Left Winger,20,13.00m,England,Juventus FC,Aston Villa,0
Renato Veiga,Centre-Back,20,3.00m,Portugal,FC Basel 1893,Chelsea FC,0
Alisson,Right Winger,19,4.50m,Brazil,Clube Atlético Mineiro,Shakhtar Donetsk,0
Caleb Okoli,Centre-Back,22,8.00m,Italy,Atalanta BC,Leicester City,0
Thierno Barry,Centre-Forward,21,4.00m,France,FC Basel 1893,Villarreal CF,0
Moise Kean,Centre-Forward,24,14.00m,Italy,Juventus FC,ACF Fiorentina,13.00m
Kyogo Furuhashi,Centre-Forward,30,14.00m,Japan,Celtic FC,Stade Rennais FC,12.00m
Facundo Torres,Left Winger,24,14.00m,Uruguay,Orlando City SC,Sociedade Esportiva Palmeiras,11.50m
Evander,Attacking Midfield,26,14.00m,Brazil,Portland Timbers,FC Cincinnati,11.50m
Moatasem Al-Musrati,Defensive Midfield,28,14.00m,Libya,SC Braga,Besiktas JK,11.00m
Vitinha,Centre-Forward,24,14.00m,Portugal,Olympique Marseille,Genoa CFC,8.30m
Niklas Beste,Left Winger,26,14.00m,Germany,SL Benfica,SC Freiburg,8.00m
Nicolò Casale,Centre-Back,26,14.00m,Italy,SS Lazio,Bologna FC 1909,Loan fee:1.50m
Ismaël Bennacer,Defensive Midfield,27,14.00m,Algeria,AC Milan,Olympique Marseille,Loan fee:1.00m
Victor Nelsson,Centre-Back,26,14.00m,Denmark,Galatasaray,AS Roma,Loan fee:500k
Carlos Alcaraz,Central Midfield,22,14.00m,Argentina,CR Flamengo,Everton FC,loan transfer
Rafa Silva,Second Striker,31,14.00m,Portugal,SL Benfica,Besiktas JK,free transfer
Gavin Bazunu,Goalkeeper,22,14.00m,Ireland,Southampton FC,Standard Liège,loan transfer
Philip Billing,Central Midfield,28,14.00m,Denmark,AFC Bournemouth,SSC Napoli,loan transfer
Bryan Gil,Left Winger,23,14.00m,Spain,Tottenham Hotspur,Girona FC,loan transfer
Alberto Costa,Right-Back,21,1.00m,Portugal,Vitória Guimarães SC,Juventus FC,0
Julián Quiñones,Centre-Forward,27,10.00m,Mexico,CF América,Al-Qadsiah FC,0
Maxi Araújo,Left Midfield,24,7.50m,Uruguay,Deportivo Toluca,Sporting CP,0
Josep Martínez,Goalkeeper,26,8.00m,Spain,Genoa CFC,Inter Milan,0
Kamil Grabara,Goalkeeper,25,12.00m,Poland,FC Copenhagen,VfL Wolfsburg,0
Helinho,Right Winger,24,7.00m,Brazil,Red Bull Bragantino,Deportivo Toluca,0
Bryan Zaragoza,Left Winger,22,12.00m,Spain,Granada CF,Bayern Munich,0
Mika Biereth,Centre-Forward,21,13.00m,Denmark,SK Sturm Graz,AS Monaco,0
Anthony Rouault,Centre-Back,23,10.00m,France,VfB Stuttgart,Stade Rennais FC,0
Cesare Casadei,Central Midfield,22,10.00m,Italy,Chelsea FC,Torino FC,0
Eli Junior Kroupi,Centre-Forward,18,10.00m,France,FC Lorient,AFC Bournemouth,0
Anastasios Douvikas,Centre-Forward,25,5.00m,Greece,Celta de Vigo,Como 1907,0
Diego Gómez,Central Midfield,21,12.00m,Paraguay,Inter Miami CF,Brighton & Hove Albion,0
Ramón Sosa,Left Winger,24,13.00m,Paraguay,CA Talleres,Nottingham Forest,12.00m
Mandela Keita,Defensive Midfield,22,13.00m,Belgium,Royal Antwerp FC,Parma Calcio 1913,11.90m
Álvaro Morata,Centre-Forward,32,13.00m,Spain,AC Milan,Galatasaray,Loan fee:6.00m
Mandela Keita,Defensive Midfield,22,13.00m,Belgium,Oud-Heverlee Leuven,Royal Antwerp FC,5.00m
Daniel Podence,Attacking Midfield,28,13.00m,Portugal,Wolverhampton Wanderers,Al-Shabab FC,5.00m
Nehuén Pérez,Centre-Back,24,13.00m,Argentina,Udinese Calcio,FC Porto,Loan fee:4.08m
Valentín Barco,Central Midfield,20,13.00m,Argentina,Brighton & Hove Albion,Sevilla FC,loan transfer
Manor Solomon,Left Winger,25,13.00m,Israel,Tottenham Hotspur,Leeds United,loan transfer
Álex Moreno,Left-Back,31,13.00m,Spain,Aston Villa,Nottingham Forest,loan transfer
Trevoh Chalobah,Centre-Back,25,13.00m,England,Chelsea FC,Crystal Palace,loan transfer
Samuel Iling-Junior,Left Winger,20,13.00m,England,Aston Villa,Bologna FC 1909,loan transfer
Arnaut Danjuma,Left Winger,27,13.00m,Netherlands,Villarreal CF,Girona FC,loan transfer
Juan Cabal,Left-Back,23,3.50m,Colombia,Hellas Verona,Juventus FC,0
Kevin Castaño,Defensive Midfield,24,6.00m,Colombia,FC Krasnodar,CA River Plate,0
Ben Godfrey,Centre-Back,26,10.00m,England,Everton FC,Atalanta BC,0
Albert Grønbæk,Attacking Midfield,23,12.00m,Denmark,FK Bodø/Glimt,Stade Rennais FC,0
Ismaël Koné,Central Midfield,22,11.00m,Canada,Watford FC,Olympique Marseille,0
Manu Silva,Defensive Midfield,23,3.00m,Portugal,Vitória Guimarães SC,SL Benfica,0
Jair Cunha,Centre-Back,19,5.00m,Brazil,Santos FC,Botafogo de Futebol e Regatas,0
Nasser Djiga,Centre-Back,22,7.00m,Burkina Faso,Red Star Belgrade,Wolverhampton Wanderers,0
Sékou Mara,Centre-Forward,22,6.00m,France,Southampton FC,RC Strasbourg Alsace,0
Luciano Gondou,Centre-Forward,23,10.00m,Argentina,AA Argentinos Juniors,Zenit St. Petersburg,0
Assane Diao,Right Winger,19,9.00m,Senegal,Real Betis Balompié,Como 1907,0
Luiz Júnior,Goalkeeper,23,6.00m,Brazil,FC Famalicão,Villarreal CF,0
Maxime Estève,Centre-Back,22,7.00m,France,Montpellier HSC,Burnley FC,0
Gustavo Nunes,Left Winger,18,10.00m,Brazil,Grêmio Foot-Ball Porto Alegrense,Brentford FC,0
Rafa Marín,Centre-Back,22,7.50m,Spain,Real Madrid,SSC Napoli,0
Houssem Aouar,Attacking Midfield,26,10.00m,Algeria,AS Roma,Al-Ittihad Club,0
Myrto Uzuni,Left Winger,29,5.00m,Albania,Granada CF,Austin FC,0
Hirving Lozano,Left Winger,29,12.00m,Mexico,PSV Eindhoven,San Diego FC,0
Can Uzun,Attacking Midfield,18,12.00m,Türkiye,1.FC Nuremberg,Eintracht Frankfurt,11.00m
David Carmo,Centre-Back,25,12.00m,Angola,FC Porto,Nottingham Forest,11.00m
Mauricio,Attacking Midfield,23,12.00m,Brazil,Sport Club Internacional,Sociedade Esportiva Palmeiras,10.50m
Alexander Prass,Left-Back,23,12.00m,Austria,SK Sturm Graz,TSG 1899 Hoffenheim,9.50m
Ameen Al-Dakhil,Centre-Back,22,12.00m,Belgium,Burnley FC,VfB Stuttgart,9.00m
Abel Ruiz,Centre-Forward,24,12.00m,Spain,SC Braga,Girona FC,9.00m
Koni De Winter,Centre-Back,22,12.00m,Belgium,Juventus FC,Genoa CFC,8.00m
Lorenzo Lucca,Centre-Forward,23,12.00m,Italy,Pisa Sporting Club,Udinese Calcio,8.00m
Emil Holm,Right-Back,24,12.00m,Sweden,Spezia Calcio,Bologna FC 1909,7.70m
Yukinari Sugawara,Right-Back,24,12.00m,Japan,AZ Alkmaar,Southampton FC,7.00m
Jota Silva,Right Winger,25,12.00m,Portugal,Vitória Guimarães SC,Nottingham Forest,7.00m
Devyne Rensch,Right-Back,22,12.00m,Netherlands,Ajax Amsterdam,AS Roma,5.00m
Eren Dinkçi,Right Winger,22,12.00m,Türkiye,SV Werder Bremen,SC Freiburg,5.00m
Jonathan Clauss,Right-Back,31,12.00m,France,Olympique Marseille,OGC Nice,5.00m
Zeki Amdouni,Centre-Forward,23,12.00m,Switzerland,Burnley FC,SL Benfica,Loan fee:2.00m
Natan,Centre-Back,23,12.00m,Brazil,SSC Napoli,Real Betis Balompié,Loan fee:1.00m
Ismaël Koné,Central Midfield,22,12.00m,Canada,Olympique Marseille,Stade Rennais FC,Loan fee:1.00m
Robin Gosens,Left-Back,30,12.00m,Germany,1.FC Union Berlin,ACF Fiorentina,Loan fee:750k
Neal Maupay,Centre-Forward,28,12.00m,France,Everton FC,Olympique Marseille,Loan fee:500k
Azzedine Ounahi,Central Midfield,24,12.00m,Morocco,Olympique Marseille,Panathinaikos FC,Loan fee:500k
Bryan Zaragoza,Left Winger,22,12.00m,Spain,Bayern Munich,CA Osasuna,Loan fee:250k
Alexis Saelemaekers,Right Winger,25,12.00m,Belgium,AC Milan,AS Roma,loan transfer
Eric Dier,Centre-Back,30,12.00m,England,Tottenham Hotspur,Bayern Munich,free transfer
Talisca,Attacking Midfield,30,12.00m,Brazil,Al-Nassr FC,Fenerbahce,free transfer
Mads Roerslev,Right-Back,25,12.00m,Denmark,Brentford FC,VfL Wolfsburg,loan transfer
Ibrahim Osman,Left Winger,19,12.00m,Ghana,Brighton & Hove Albion,Feyenoord Rotterdam,loan transfer
Lilian Brassier,Centre-Back,24,12.00m,France,Stade Brestois 29,Olympique Marseille,loan transfer
Kelechi Iheanacho,Centre-Forward,27,12.00m,Nigeria,Leicester City,Sevilla FC,free transfer
Eljif Elmas,Attacking Midfield,25,12.00m,North Macedonia,RB Leipzig,Torino FC,loan transfer
David Carmo,Centre-Back,25,12.00m,Angola,Nottingham Forest,Olympiacos Piraeus,loan transfer
Tiago Djaló,Centre-Back,24,12.00m,Portugal,Juventus FC,FC Porto,loan transfer
Kepa Arrizabalaga,Goalkeeper,29,12.00m,Spain,Chelsea FC,AFC Bournemouth,loan transfer
David Datro Fofana,Centre-Forward,21,12.00m,Cote d'Ivoire,Chelsea FC,Göztepe,loan transfer
Sam Johnstone,Goalkeeper,31,10.00m,England,Crystal Palace,Wolverhampton Wanderers,0
Tom Cannon,Centre-Forward,22,6.00m,Ireland,Leicester City,Sheffield United,0
Joe Rodon,Centre-Back,26,8.00m,Wales,Tottenham Hotspur,Leeds United,0
Lewis Dobbin,Left Winger,21,2.50m,England,Everton FC,Aston Villa,0
Bobby Clark,Central Midfield,19,1.00m,England,Liverpool FC U21,Red Bull Salzburg,0
Aleksey Miranchuk,Attacking Midfield,28,10.00m,Russia,Atalanta BC,Atlanta United FC,0
Konstantinos Koulierakis,Centre-Back,20,8.00m,Greece,PAOK Thessaloniki,VfL Wolfsburg,0
William Osula,Centre-Forward,21,3.00m,Denmark,Sheffield United,Newcastle United,0
Diego Carlos,Centre-Back,31,11.00m,Brazil,Aston Villa,Fenerbahce,0
Thilo Kehrer,Centre-Back,27,10.00m,Germany,West Ham United,AS Monaco,0
Benjamín Rollheiser,Right Winger,24,10.00m,Argentina,SL Benfica,Santos FC,0
Arne Engels,Central Midfield,20,9.00m,Belgium,FC Augsburg,Celtic FC,0
Sebastian Nanasi,Left Midfield,22,8.00m,Sweden,Malmö FF,RC Strasbourg Alsace,0
Ante Crnac,Centre-Forward,20,2.00m,Croatia,Raków Częstochowa,Norwich City,0
Luciano Rodríguez,Centre-Forward,21,8.00m,Uruguay,Liverpool FC Montevideo,Esporte Clube Bahia,0
Luis Alberto,Attacking Midfield,31,11.00m,Spain,SS Lazio,Al-Duhail SC,10.30m
Maarten Vandevoordt,Goalkeeper,22,11.00m,Belgium,KRC Genk,RB Leipzig,10.00m
Morgan Whittaker,Right Winger,24,11.00m,England,Plymouth Argyle,Middlesbrough FC,7.10m
Maksim Glushenkov,Second Striker,24,11.00m,Russia,Lokomotiv Moscow,Zenit St. Petersburg,6.30m
Wilfried Zaha,Left Winger,31,11.00m,Cote d'Ivoire,Galatasaray,Olympique Lyon,Loan fee:3.00m
Fedor Chalov,Centre-Forward,26,11.00m,Russia,CSKA Moscow,PAOK Thessaloniki,3.00m
Moatasem Al-Musrati,Defensive Midfield,28,11.00m,Libya,Besiktas JK,AS Monaco,Loan fee:1.00m
Stefan Bajcetic,Defensive Midfield,19,11.00m,Spain,Liverpool FC,Red Bull Salzburg,loan transfer
Fábio Silva,Centre-Forward,22,11.00m,Portugal,Wolverhampton Wanderers,UD Las Palmas,loan transfer
Samuel Iling-Junior,Left Winger,21,11.00m,England,Aston Villa,Middlesbrough FC,loan transfer
Andrew Omobamidele,Centre-Back,22,11.00m,Ireland,Nottingham Forest,RC Strasbourg Alsace,loan transfer
Habib Diallo,Centre-Forward,29,11.00m,Senegal,Al-Shabab FC,Damac FC,loan transfer
Eiran Cashin,Centre-Back,23,1.80m,Ireland,Derby County,Brighton & Hove Albion,0
Tim Iroegbunam,Central Midfield,21,4.00m,England,Aston Villa,Everton FC,0
Sammie Szmodics,Attacking Midfield,28,7.00m,Ireland,Blackburn Rovers,Ipswich Town,0
Bamo Meïté,Centre-Back,22,6.00m,Cote d'Ivoire,FC Lorient,Olympique Marseille,0
Mikayil Faye,Centre-Back,20,10.00m,Senegal,FC Barcelona,Stade Rennais FC,0
Caleb Wiley,Left-Back,19,5.00m,United States,Atlanta United FC,Chelsea FC,0
Issahaku Fatawu,Right Winger,20,10.00m,Ghana,Sporting CP,Leicester City,0
Tijjani Noslin,Right Winger,24,10.00m,Netherlands,Hellas Verona,SS Lazio,0
Warren Bondo,Central Midfield,21,7.00m,France,AC Monza,AC Milan,0
Lucas Bergvall,Central Midfield,18,10.00m,Sweden,Djurgårdens IF,Tottenham Hotspur,0
Pablo Solari,Right Winger,23,7.00m,Argentina,CA River Plate,Spartak Moscow,0
Glen Kamara,Central Midfield,28,6.00m,Finland,Leeds United,Stade Rennais FC,0
Carlos Andrés Gómez,Right Winger,21,5.00m,Colombia,Real Salt Lake City,Stade Rennais FC,0
Jota,Left Winger,25,8.00m,Portugal,Stade Rennais FC,Celtic FC,0
Joane Gadou,Centre-Back,17,500k,France,Paris Saint-Germain U19,Red Bull Salzburg,0
Bazoumana Touré,Left Winger,18,9.00m,Cote d'Ivoire,Hammarby IF,TSG 1899 Hoffenheim,0
Artur,Right Winger,26,8.00m,Brazil,Zenit St. Petersburg,Botafogo de Futebol e Regatas,0
Rwan Cruz,Centre-Forward,23,3.50m,Brazil,Ludogorets Razgrad,Botafogo de Futebol e Regatas,0
Matheus Martins,Left Winger,21,7.00m,Brazil,Udinese Calcio,Botafogo de Futebol e Regatas,0
Pedro Lima,Right-Back,18,2.50m,Brazil,Sport Club do Recife,Wolverhampton Wanderers,0
Rafa Mujica,Centre-Forward,25,8.00m,Spain,FC Arouca,Al-Sadd SC,0
Mamadou Sarr,Centre-Back,18,1.00m,France,Olympique Lyon,RC Strasbourg Alsace,0
Daniel Maldini,Attacking Midfield,23,6.00m,Italy,AC Monza,Atalanta BC,0
Aleksandr Sobolev,Centre-Forward,27,7.50m,Russia,Spartak Moscow,Zenit St. Petersburg,0
Julián Araujo,Right-Back,23,8.00m,Mexico,FC Barcelona,AFC Bournemouth,0
Matthis Abline,Centre-Forward,21,6.00m,France,Stade Rennais FC,FC Nantes,0
Nicolò Cambiaghi,Left Winger,23,7.00m,Italy,Atalanta BC,Bologna FC 1909,0
Willy Kambwala,Centre-Back,19,5.00m,France,Manchester United,Villarreal CF,0
Matías Fernández-Pardo,Centre-Forward,19,3.00m,Spain,KAA Gent,LOSC Lille,0
Assan Ouédraogo,Central Midfield,18,10.00m,Germany,FC Schalke 04,RB Leipzig,0
Benjamín Rollheiser,Right Winger,24,10.00m,Argentina,Club Estudiantes de La Plata,SL Benfica,9.50m
Reda Belahyane,Defensive Midfield,20,10.00m,Morocco,Hellas Verona,SS Lazio,9.50m
Gift Orban,Centre-Forward,22,10.00m,Nigeria,Olympique Lyon,TSG 1899 Hoffenheim,9.00m
Érick Sánchez,Central Midfield,24,10.00m,Mexico,CF Pachuca,CF América,9.00m
David García,Centre-Back,30,10.00m,Spain,CA Osasuna,Al-Rayyan SC,8.75m
Sergio Gómez,Right Winger,23,10.00m,Spain,Manchester City,Real Sociedad,8.70m
Çağlar Söyüncü,Centre-Back,28,10.00m,Türkiye,Atlético de Madrid,Fenerbahce,8.50m
Mateusz Bogusz,Attacking Midfield,23,10.00m,Poland,Los Angeles FC,CD Cruz Azul,8.50m
Predrag Rajković,Goalkeeper,28,10.00m,Serbia,RCD Mallorca,Al-Ittihad Club,8.00m
Ladislav Krejci,Centre-Back,25,10.00m,Czech Republic,AC Sparta Prague,Girona FC,8.00m
Tetê,Right Winger,24,10.00m,Brazil,Galatasaray,Panathinaikos FC,7.25m
Lucas Martínez Quarta,Centre-Back,28,10.00m,Argentina,ACF Fiorentina,CA River Plate,7.00m
Christos Tzolis,Left Winger,22,10.00m,Greece,Fortuna Düsseldorf,Club Brugge KV,6.50m
Facundo Pellistri,Left Winger,22,10.00m,Uruguay,Manchester United,Panathinaikos FC,6.00m
Nico Paz,Attacking Midfield,19,10.00m,Argentina,Real Madrid Castilla,Como 1907,6.00m
Anders Dreyer,Right Winger,26,10.00m,Denmark,RSC Anderlecht,San Diego FC,5.50m
Tommy Doyle,Central Midfield,22,10.00m,England,Manchester City,Wolverhampton Wanderers,5.00m
Nabil Fekir,Attacking Midfield,31,10.00m,France,Real Betis Balompié,Al-Jazira Club,5.00m
Guillermo Maripán,Centre-Back,30,10.00m,Chile,AS Monaco,Torino FC,4.60m
Renato Veiga,Centre-Back,21,10.00m,Portugal,Chelsea FC,Juventus FC,Loan fee:4.00m
Christos Tzolis,Left Winger,22,10.00m,Greece,Norwich City,Fortuna Düsseldorf,3.50m
Jakub Moder,Central Midfield,25,10.00m,Poland,Brighton & Hove Albion,Feyenoord Rotterdam,1.50m
Jens Cajuste,Defensive Midfield,25,10.00m,Sweden,SSC Napoli,Ipswich Town,Loan fee:1.50m
Stefan Posch,Centre-Back,27,10.00m,Austria,Bologna FC 1909,Atalanta BC,Loan fee:1.00m
Nicola Zalewski,Left Midfield,23,10.00m,Poland,AS Roma,Inter Milan,Loan fee:600k
Silas,Right Winger,25,10.00m,DR Congo,VfB Stuttgart,Red Star Belgrade,Loan fee:500k
Kyle Walker,Right-Back,34,10.00m,England,Manchester City,AC Milan,loan transfer
Clément Lenglet,Centre-Back,29,10.00m,France,FC Barcelona,Atlético de Madrid,loan transfer
Mario Hermoso,Centre-Back,29,10.00m,Spain,AS Roma,Bayer 04 Leverkusen,loan transfer
Nordi Mukiele,Right-Back,26,10.00m,France,Paris Saint-Germain,Bayer 04 Leverkusen,loan transfer
Rasmus Kristensen,Right-Back,27,10.00m,Denmark,Leeds United,Eintracht Frankfurt,loan transfer
Mehdi Taremi,Centre-Forward,31,10.00m,Iran,FC Porto,Inter Milan,free transfer
Salih Özcan,Defensive Midfield,26,10.00m,Türkiye,Borussia Dortmund,VfL Wolfsburg,loan transfer
Lilian Brassier,Centre-Back,25,10.00m,France,Stade Brestois 29,Stade Rennais FC,loan transfer
Issa Kaboré,Right-Back,23,10.00m,Burkina Faso,Manchester City,SL Benfica,loan transfer
Boulaye Dia,Centre-Forward,27,10.00m,Senegal,US Salernitana 1919,SS Lazio,loan transfer
Ben Doak,Right Winger,18,10.00m,Scotland,Liverpool FC,Middlesbrough FC,loan transfer
Ryan Sessegnon,Left-Back,24,10.00m,England,Tottenham Hotspur,Fulham FC,free transfer
Tommaso Pobega,Central Midfield,25,10.00m,Italy,AC Milan,Bologna FC 1909,loan transfer
Shea Charles,Defensive Midfield,20,10.00m,Northern Ireland,Southampton FC,Sheffield Wednesday,loan transfer
Eli Junior Kroupi,Centre-Forward,18,10.00m,France,AFC Bournemouth,FC Lorient,loan transfer
Sébastien Haller,Centre-Forward,30,10.00m,Cote d'Ivoire,Borussia Dortmund,CD Leganés,loan transfer
Pau López,Goalkeeper,29,10.00m,Spain,Olympique Marseille,Girona FC,loan transfer
Sebastián Driussi,Centre-Forward,28,6.00m,Argentina,Austin FC,CA River Plate,0
Brandon Vazquez,Centre-Forward,26,6.00m,United States,CF Monterrey,Austin FC,0
Arijanet Muric,Goalkeeper,25,7.00m,Kosovo,Burnley FC,Ipswich Town,0
Chiedozie Ogbene,Right Winger,27,8.00m,Ireland,Luton Town,Ipswich Town,0
Georgios Giakoumakis,Centre-Forward,29,8.00m,Greece,Atlanta United FC,CD Cruz Azul,0
Flynn Downes,Defensive Midfield,25,9.00m,England,West Ham United,Southampton FC,0
Mika Biereth,Centre-Forward,21,7.00m,Denmark,Arsenal FC U21,SK Sturm Graz,0
Elias Jelert,Right-Back,21,5.50m,Denmark,FC Copenhagen,Galatasaray,0
Ryan Flamingo,Centre-Back,21,7.00m,Netherlands,FC Utrecht,PSV Eindhoven,0
Amir Richardson,Central Midfield,22,6.00m,Morocco,Stade Reims,ACF Fiorentina,0
William Gomes,Left Winger,18,6.00m,Brazil,São Paulo Futebol Clube,FC Porto,0
Kaio César,Right Winger,20,3.00m,Brazil,Vitória Guimarães SC,Al-Hilal SFC,0
Ezequiel Ponce,Centre-Forward,27,5.00m,Argentina,AEK Athens,Houston Dynamo FC,0
Matteo Dams,Left-Back,20,5.00m,Belgium,PSV Eindhoven,Al-Ahli SFC,0
Alexsander,Defensive Midfield,20,8.00m,Brazil,Fluminense Football Club,Al-Ahli SFC,0
Pierre-Emerick Aubameyang,Centre-Forward,35,5.00m,Gabon,Olympique Marseille,Al-Qadsiah FC,0
Jota,Left Winger,25,9.00m,Portugal,Al-Ittihad Club,Stade Rennais FC,8.00m
Lucas Ocampos,Left Winger,30,9.00m,Argentina,Sevilla FC,CF Monterrey,7.25m
Hannibal,Attacking Midfield,21,9.00m,Tunisia,Manchester United,Burnley FC,6.40m
Akor Adams,Centre-Forward,24,9.00m,Nigeria,Montpellier HSC,Sevilla FC,5.50m
Jamie Leweling,Right Winger,23,9.00m,Germany,1.FC Union Berlin,VfB Stuttgart,5.00m
Anass Zaroury,Attacking Midfield,23,9.00m,Morocco,Burnley FC,RC Lens,5.00m
Marc Roca,Defensive Midfield,27,9.00m,Spain,Leeds United,Real Betis Balompié,4.50m
Hyun-seok Hong,Attacking Midfield,25,9.00m,"Korea, South",KAA Gent,1.FSV Mainz 05,4.00m
Jeff Chabot,Centre-Back,26,9.00m,Germany,1.FC Köln,VfB Stuttgart,4.00m
Dániel Gazdag,Attacking Midfield,29,9.00m,Hungary,Philadelphia Union,Columbus Crew,3.55m
Robert Renan,Centre-Back,20,9.00m,Brazil,Zenit St. Petersburg,Al-Shabab FC,Loan fee:3.00m
Mario Lemina,Defensive Midfield,31,9.00m,Gabon,Wolverhampton Wanderers,Galatasaray,2.50m
Veljko Birmancevic,Left Winger,26,9.00m,Serbia,FC Toulouse,AC Sparta Prague,2.30m
Jonathan Rowe,Left Winger,21,9.00m,England,Norwich City,Olympique Marseille,Loan fee:2.00m
Charlie Patiño,Central Midfield,20,9.00m,England,Arsenal FC U21,Deportivo de La Coruña,1.20m
Samuel Gigot,Centre-Back,30,9.00m,France,Olympique Marseille,SS Lazio,Loan fee:500k
Hakim Ziyech,Right Winger,31,9.00m,Morocco,Chelsea FC,Galatasaray,free transfer
Frank Onyeka,Central Midfield,26,9.00m,Nigeria,Brentford FC,FC Augsburg,loan transfer
Maxwel Cornet,Left Winger,27,9.00m,Cote d'Ivoire,West Ham United,Southampton FC,loan transfer
Stefan Bajcetic,Defensive Midfield,20,9.00m,Spain,Liverpool FC,UD Las Palmas,loan transfer
Scott McKenna,Centre-Back,27,9.00m,Scotland,Nottingham Forest,UD Las Palmas,free transfer
Bertrand Traoré,Right Winger,28,9.00m,Burkina Faso,Villarreal CF,Ajax Amsterdam,free transfer
Alejo Veliz,Centre-Forward,20,9.00m,Argentina,Tottenham Hotspur,RCD Espanyol Barcelona,loan transfer
Juan Miranda,Left-Back,24,9.00m,Spain,Real Betis Balompié,Bologna FC 1909,free transfer
Máximo Perrone,Defensive Midfield,21,9.00m,Argentina,Manchester City,Como 1907,loan transfer
Duván Zapata,Centre-Forward,33,8.00m,Colombia,Atalanta BC,Torino FC,0
Abdulmalik Al-Oyayari,Right-Back,20,800k,Saudi Arabia,Al-Taawoun FC,NEOM SC,0
Jesús Orozco Chiquete,Centre-Back,22,8.50m,Mexico,Deportivo Guadalajara,CD Cruz Azul,0
Anass Salah-Eddine,Left-Back,23,5.00m,Netherlands,Twente Enschede FC,AS Roma,0
Valentin Gendrey,Right-Back,24,7.00m,France,US Lecce,TSG 1899 Hoffenheim,0
Alberto Dossena,Centre-Back,25,5.00m,Italy,Cagliari Calcio,Como 1907,0
Osame Sahraoui,Left Winger,23,8.50m,Morocco,SC Heerenveen,LOSC Lille,8.00m
In-beom Hwang,Central Midfield,27,8.50m,"Korea, South",Red Star Belgrade,Feyenoord Rotterdam,7.00m
Matheus Henrique,Central Midfield,26,8.50m,Brazil,US Sassuolo,Cruzeiro Esporte Clube,6.30m
Todd Cantwell,Attacking Midfield,26,8.50m,England,Rangers FC,Blackburn Rovers,590k
Michy Batshuayi,Centre-Forward,30,8.50m,Belgium,Fenerbahce,Galatasaray,free transfer
Nicolas Pépé,Right Winger,29,8.50m,Cote d'Ivoire,Trabzonspor,Villarreal CF,free transfer
Mahmoud Trezeguet,Left Winger,29,8.50m,Egypt,Trabzonspor,Al-Rayyan SC,loan transfer
Kosta Nedeljkovic,Right-Back,19,8.50m,Serbia,Aston Villa,RB Leipzig,loan transfer
Ben Brereton Díaz,Centre-Forward,25,8.00m,Chile,Villarreal CF,Southampton FC,0
Zion Suzuki,Goalkeeper,21,2.50m,Japan,Sint-Truidense VV,Parma Calcio 1913,0
Luís Maximiano,Goalkeeper,25,5.00m,Portugal,SS Lazio,UD Almería,0
Loum Tchaouna,Right Winger,20,8.00m,France,US Salernitana 1919,SS Lazio,0
Saúl Coco,Centre-Back,25,8.00m,Equatorial Guinea,UD Las Palmas,Torino FC,0
Danil Glebov,Defensive Midfield,25,8.00m,Russia,FC Rostov,Dynamo Moscow,0
Carlos Cuesta,Centre-Back,25,5.00m,Colombia,KRC Genk,Galatasaray,0
